Date : 2026-01-26 02:05:31
Directory : e:\GitHub\Project-Cronus\Cronus
Total : 224 files,  51806 codes, 11059 comments, 9204 blanks, all 72069 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\PathHandler.cs                                   | C#          |        100 |         76 |         34 |        210 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Serialization\JsonConverters.cs                  | C#          |          0 |          3 |          2 |          5 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Serialization\JsonSerializer.cs                  | C#          |        577 |        159 |        176 |        912 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Serialization\SimpleJsonReplacement.cs           | C#          |          0 |          3 |          2 |          5 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Serialization\SimpleZipReplacement.cs            | C#          |         62 |          0 |         18 |         80 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Serialization\TinyJson.cs                        | C#          |        383 |         30 |         54 |        467 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\astarclasses.cs                                  | C#          |        518 |        543 |        145 |      1,206 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Documentation\documentation.html                      | HTML        |     15,381 |          0 |      1,662 |     17,043 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Documentation\index.md                                | Markdown    |          6 |          0 |          2 |          8 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\AIBaseEditor.cs                                | C#          |        135 |          3 |         25 |        163 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\AILerpEditor.cs                                | C#          |         27 |          0 |          5 |         32 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\AnimationLinkEditor.cs                         | C#          |         21 |          0 |          4 |         25 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\AstarPathEditor.cs                             | C#          |      1,046 |        107 |        295 |      1,448 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\AstarPathfindingProjectEditor.asmdef           | JSON        |         13 |          0 |          0 |         13 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\AstarUpdateChecker.cs                          | C#          |        230 |         36 |         44 |        310 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\AstarUpdateWindow.cs                           | C#          |         81 |          1 |         22 |        104 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\CustomGraphEditorAttribute.cs                  | C#          |         12 |          4 |          4 |         20 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\EditorAssets\Materials\Navmesh.cginc           | UnityShader |         51 |         19 |          8 |         78 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\EditorAssets\Materials\Navmesh.shader          | UnityShader |         89 |          2 |         28 |        119 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\EditorAssets\Materials\NavmeshOutline.shader   | UnityShader |         70 |          3 |         15 |         88 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\GraphEditors\GraphEditor.cs                    | C#          |        107 |         14 |         25 |        146 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\GraphEditors\GridGeneratorEditor.cs            | C#          |        563 |         28 |        141 |        732 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\GraphEditors\NavMeshGeneratorEditor.cs         | C#          |         28 |          0 |         10 |         38 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\GraphEditors\PointGeneratorEditor.cs           | C#          |         38 |          0 |         14 |         52 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\GraphUpdateSceneEditor.cs                      | C#          |        258 |         11 |         51 |        320 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\Legacy\LegacyAIPathEditor2.cs                  | C#          |         17 |          0 |          2 |         19 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\Legacy\LegacyEditorHelper2.cs                  | C#          |         28 |          0 |          2 |         30 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\ModifierEditors\RaycastModifierEditor.cs       | C#          |         29 |          0 |          6 |         35 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\ModifierEditors\SmoothModifierEditor.cs        | C#          |         39 |          0 |          7 |         46 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\ProceduralGridMoverEditor.cs                   | C#          |         23 |          1 |          5 |         29 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\SeekerEditor.cs                                | C#          |        117 |          4 |         22 |        143 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\ExampleScenes\Example12_Procedural\ProceduralWorld.cs | C#          |        175 |         52 |         55 |        282 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\AstarSmoothFollow2.cs    | C#          |         30 |          4 |          5 |         39 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\DoorController.cs        | C#          |         38 |          9 |         13 |         60 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\MineBotAI.cs             | C#          |         36 |         14 |          6 |         56 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\MineBotAnimation.cs      | C#          |         32 |         31 |         11 |         74 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\ObjectPlacer.cs          | C#          |         52 |         14 |         13 |         79 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\SnapToNode.cs            | C#          |         16 |          4 |          2 |         22 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\TargetMover.cs           | C#          |         51 |         15 |         12 |         78 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\ExampleScenes\Materials\DiffuseAlwaysVisible.shader   | UnityShader |         30 |          0 |         16 |         46 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\ExampleScenes\Materials\Projector Light.shader        | UnityShader |         26 |          0 |          0 |         26 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\Base.cs                                    | C#          |        291 |        314 |         95 |        700 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\GridGenerator.cs                           | C#          |      1,157 |        741 |        345 |      2,243 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\NavMeshGenerator.cs                        | C#          |        161 |         60 |         52 |        273 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\NavmeshBase.cs                             | C#          |        798 |        336 |        233 |      1,367 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\NodeClasses\GridNode.cs                    | C#          |        241 |         57 |         64 |        362 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\NodeClasses\GridNodeBase.cs                | C#          |        207 |         98 |         58 |        363 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\NodeClasses\PointNode.cs                   | C#          |        146 |         86 |         41 |        273 |
