"filename", "language", "XML", "JSON", "C#", "UnityShader", "Markdown", "HTML", "comment", "blank", "total"
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\AstarUpdateWindow.cs", "C#", 0, 0, 81, 0, 0, 0, 1, 22, 104
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\CustomGraphEditorAttribute.cs", "C#", 0, 0, 12, 0, 0, 0, 4, 4, 20
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\EditorAssets\Materials\Navmesh.cginc", "UnityShader", 0, 0, 0, 51, 0, 0, 19, 8, 78
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\EditorAssets\Materials\Navmesh.shader", "UnityShader", 0, 0, 0, 89, 0, 0, 2, 28, 119
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\EditorAssets\Materials\NavmeshOutline.shader", "UnityShader", 0, 0, 0, 70, 0, 0, 3, 15, 88
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\GraphEditors\GraphEditor.cs", "C#", 0, 0, 107, 0, 0, 0, 14, 25, 146
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\GraphEditors\GridGeneratorEditor.cs", "C#", 0, 0, 563, 0, 0, 0, 28, 141, 732
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\GraphEditors\NavMeshGeneratorEditor.cs", "C#", 0, 0, 28, 0, 0, 0, 0, 10, 38
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\GraphEditors\PointGeneratorEditor.cs", "C#", 0, 0, 38, 0, 0, 0, 0, 14, 52
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\GraphUpdateSceneEditor.cs", "C#", 0, 0, 258, 0, 0, 0, 11, 51, 320
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\Legacy\LegacyAIPathEditor2.cs", "C#", 0, 0, 17, 0, 0, 0, 0, 2, 19
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\Legacy\LegacyEditorHelper2.cs", "C#", 0, 0, 28, 0, 0, 0, 0, 2, 30
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\ModifierEditors\RaycastModifierEditor.cs", "C#", 0, 0, 29, 0, 0, 0, 0, 6, 35
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\ModifierEditors\SmoothModifierEditor.cs", "C#", 0, 0, 39, 0, 0, 0, 0, 7, 46
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\ProceduralGridMoverEditor.cs", "C#", 0, 0, 23, 0, 0, 0, 1, 5, 29
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\SeekerEditor.cs", "C#", 0, 0, 117, 0, 0, 0, 4, 22, 143
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\ExampleScenes\Example12_Procedural\ProceduralWorld.cs", "C#", 0, 0, 175, 0, 0, 0, 52, 55, 282
